Objects
100
,,Global Angle qbii_test:qbii_test,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.003271,-0.000014,-0.000072,-57.831051,132.593704,30.465506
2,0,0.003133,0.000880,0.000219,-57.862614,132.603561,30.494026
3,0,0.003173,0.000964,0.000259,-57.867622,132.604370,30.496702
4,0,0.003204,0.000575,0.000108,-57.852608,132.599045,30.482944
5,0,0.003201,0.000372,0.000010,-57.842796,132.596863,30.477596
6,0,0.003215,0.000257,-0.000045,-57.836575,132.594162,30.475512
7,0,0.003209,0.000228,-0.000069,-57.832958,132.593338,30.475622
8,0,0.003210,0.000099,-0.000089,-57.832027,132.591782,30.470337
9,0,0.003206,0.000129,-0.000090,-57.830082,132.591110,30.471220
10,0,0.003217,0.000117,-0.000105,-57.830627,132.590759,30.470680
11,0,0.003202,0.000074,-0.000106,-57.827415,132.589905,30.468794
12,0,0.003218,0.000079,-0.000109,-57.827946,132.590179,30.468403
13,0,0.003213,0.000071,-0.000121,-57.828415,132.590973,30.466837
14,0,0.003188,0.000076,-0.000120,-57.828529,132.591553,30.467495
15,0,0.003163,0.000034,-0.000123,-57.828918,132.592453,30.465307
16,0,0.003159,0.000321,0.000047,-57.847496,132.597626,30.473303
17,0,0.003151,0.000201,-0.000027,-57.839706,132.596405,30.470318
18,0,0.003173,0.000165,-0.000045,-57.834255,132.593903,30.470181
19,0,0.003198,0.000432,0.000103,-57.851448,132.596603,30.478134
20,0,0.003182,0.000605,0.000188,-57.861809,132.599640,30.483070
21,0,0.003201,0.000392,0.000055,-57.848499,132.597977,30.478151
22,0,0.003174,0.000603,0.000160,-57.858906,132.600723,30.484686
23,0,0.003170,0.000705,0.000232,-57.865967,132.601761,30.485218
24,0,0.003184,0.000450,0.000110,-57.849537,132.597168,30.476799
25,0,0.003202,0.000292,0.000017,-57.839191,132.595581,30.475550
26,0,0.003223,0.000193,-0.000039,-57.834488,132.593567,30.472902
27,0,0.003230,0.000459,0.000106,-57.849617,132.597458,30.479904
28,0,0.003225,0.000301,0.000040,-57.840263,132.593475,30.476330
29,0,0.003232,0.000205,0.000002,-57.834057,132.593307,30.470623
30,0,0.003216,0.000117,-0.000036,-57.829865,132.593948,30.468294
31,0,0.003232,0.000094,-0.000066,-57.829353,132.596664,30.466621
32,0,0.003265,0.000070,-0.000069,-57.829052,132.594772,30.467627
33,0,0.003214,0.000375,0.000100,-57.847794,132.598251,30.475130
34,0,0.003228,0.000205,0.000023,-57.840897,132.595306,30.468264
35,0,0.003221,0.000105,-0.000035,-57.837677,132.595551,30.463945
36,0,0.003210,0.000091,-0.000064,-57.833942,132.595306,30.465702
37,0,0.003222,0.000025,-0.000088,-57.832867,132.593903,30.464371
38,0,0.003215,0.000359,0.000049,-57.847122,132.596741,30.475433
39,0,0.003178,0.000643,0.000176,-57.857899,132.600525,30.484114
40,0,0.003198,0.000409,0.000066,-57.846378,132.596329,30.476332
41,0,0.003224,0.000283,-0.000012,-57.840416,132.595062,30.474104
42,0,0.003240,0.000184,-0.000049,-57.836063,132.592026,30.472244
43,0,0.003227,0.000148,-0.000082,-57.833210,132.593124,30.471586
44,0,0.003214,0.000403,0.000073,-57.850304,132.598373,30.475967
45,0,0.003216,0.000268,-0.000015,-57.842632,132.594986,30.473627
46,0,0.003237,0.000186,-0.000069,-57.837551,132.594345,30.471001
47,0,0.003212,0.000119,-0.000074,-57.834419,132.593124,30.467726
48,0,0.003209,0.000090,-0.000091,-57.832855,132.591782,30.468416
49,0,0.003197,0.000398,0.000080,-57.850868,132.595474,30.478199
50,0,0.003195,0.000253,0.000003,-57.841549,132.594498,30.474512
51,0,0.003172,0.000471,0.000090,-57.851089,132.597595,30.480997
52,0,0.003183,0.000650,0.000164,-57.861565,132.601334,30.484945
53,0,0.003199,0.000420,0.000068,-57.850765,132.598419,30.476944
54,0,0.003203,0.000268,-0.000013,-57.842682,132.596130,30.473129
55,0,0.003214,0.000191,-0.000047,-57.837639,132.594147,30.470770
56,0,0.003209,0.000123,-0.000064,-57.836487,132.590927,30.468029
57,0,0.003202,0.000056,-0.000089,-57.833221,132.590286,30.466511
58,0,0.003236,0.000036,-0.000100,-57.830860,132.590271,30.465891
59,0,0.003226,0.000322,0.000054,-57.849930,132.594559,30.474016
60,0,0.003217,0.000212,0.000002,-57.841679,132.588791,30.470587
61,0,0.003206,0.000496,0.000085,-57.850967,132.592499,30.481339
62,0,0.003217,0.000307,0.000000,-57.842831,132.590454,30.473959
63,0,0.003227,0.000160,-0.000051,-57.838501,132.589432,30.467106
64,0,0.003209,0.000407,0.000106,-57.855350,132.594574,30.474617
65,0,0.003222,0.000285,0.000030,-57.846115,132.593369,30.473276
66,0,0.003221,0.000166,-0.000030,-57.841572,132.594116,30.465014
67,0,0.003224,0.000154,-0.000054,-57.834934,132.593674,30.466724
68,0,0.003213,0.000119,-0.000078,-57.830486,132.593964,30.467617
69,0,0.003215,0.000073,-0.000088,-57.828327,132.593597,30.466303
70,0,0.003221,0.000056,-0.000117,-57.828365,132.594070,30.466282
71,0,0.003223,0.000358,0.000048,-57.848404,132.598175,30.476280
72,0,0.003209,0.000228,-0.000029,-57.840122,132.596924,30.473606
73,0,0.003211,0.000135,-0.000052,-57.836540,132.594727,30.468958
74,0,0.003209,0.000092,-0.000072,-57.836105,132.593292,30.466040
75,0,0.003192,0.000092,-0.000097,-57.833511,132.591980,30.467480
76,0,0.003177,0.000067,-0.000111,-57.830757,132.592667,30.468437
77,0,0.003209,0.000098,-0.000109,-57.827938,132.593796,30.466478
78,0,0.003202,0.000071,-0.000113,-57.827995,132.591995,30.463831
79,0,0.003206,0.000037,-0.000095,-57.827061,132.592026,30.461805
