Time (s),x (cm),y (cm),theta (deg),left velocity (),right velocity ()
1060.01,0,0,89.9543738355393,0,0
1060.02,0,0,89.9543738355393,0,0
1060.04,0,0,89.9543738355393,0,0
1060.06,0,0,89.9543738355393,0,0
1060.07,0,0,89.9543738355393,0,0
1060.09,0,0,89.9543738355393,0,0
1060.11,0,0,89.9543738355393,0,0
1060.12,0,0,89.9543738355393,0,0
1060.14,0,0,89.9543738355393,0,0
1060.16,0,0,89.9543738355393,0,0
1060.17,0,0,89.9543738355393,0,0
1060.19,0,0,89.9543738355393,0,0
1060.21,0,0,89.9543738355393,0,0
1060.22,0,0,89.9543738355393,0,0
1060.24,0,0,89.9543738355393,0,0
1060.26,0,0,89.9543738355393,0,0
1060.27,0,0,89.9543738355393,0,0
1060.29,0,0,89.9543738355393,0,0
1060.31,0,0,89.9543738355393,0,0
1060.32,0,0,89.9543738355393,0,0
1060.34,0,0,89.9543738355393,0,0
1060.35,0,0,89.9543738355393,0,0
1060.37,0,0,89.9543738355393,0,0
1060.39,0,0,89.9543738355393,0,0
1060.4,0,0,89.9543738355393,0,0
1060.42,0,0,89.9543738355393,0,0
1060.44,0,0,89.9543738355393,0,0
1060.45,0,0,89.9543738355393,0,0
1060.47,0,0,89.9543738355393,0,0
1060.49,0,0,89.9543738355393,0,0
1060.5,0,0,89.9543738355393,0,0
1060.52,0,0,89.9543738355393,0,0
1060.54,0,0,89.9543738355393,0,0
1060.55,0,0,89.9543738355393,0,0
1060.57,0,0,89.9543738355393,0,0
1060.59,0,0,89.9543738355393,0,0
1060.6,0,0,89.9543738355393,0,0
1060.62,0,0,89.9543738355393,0,0
1060.64,0,0,89.9543738355393,0,0
1060.65,0,0,89.9543738355393,0,0
1060.67,0,0,89.9543738355393,0,0
1060.69,0,0,89.9543738355393,0,0
1060.7,0,0,89.9543738355393,0,0
1060.72,0,0,89.9543738355393,0,0
1060.74,0,0,89.9543738355393,0,0
1060.75,0,0,89.9543738355393,0,0
1060.77,0,0,89.9543738355393,0,0
1060.79,0,0,89.9543738355393,0,0
1060.8,0,0,89.9543738355393,0,0
1060.82,0,0,89.9543738355393,0,0
1060.84,0,0,89.9543738355393,0,0
1060.85,0,0,89.9543738355393,0,0
1060.87,0,0,89.9543738355393,0,0
1060.89,0,0,89.9543738355393,0,0
1060.9,0,0,89.9543738355393,0,0
1060.92,0,0,89.9543738355393,0,0
1060.94,0,0,89.9543738355393,0,0
1060.95,0,0,89.9543738355393,0,0
1060.97,0,0,89.9543738355393,0,0
1060.99,0,0,89.9543738355393,0,0
1061,0,0,89.9543738355393,0,0
1061.02,0,0,89.9543738355393,0,0
