Time (s),x (cm),y (cm),theta (deg)
0.01,-50.8456055,-213.8720215,-0.032887777440509254
0.02,-50.846038799999995,-213.87072750000002,-0.041138369690393105
0.03,-50.8451813,-213.87348629999997,-0.0359817495342157
0.04,-50.850027499999996,-213.8697266,-0.04125296124941928
0.05,-50.8434845,-213.8727539,-0.05053487753053861
0.06,-50.847036700000004,-213.87075199999998,-0.03827358071473899
0.07,-50.8453186,-213.8729004,-0.0447480037997173
0.08,-50.84673769999999,-213.8717773,-0.03758603136058201
0.09,-50.842916900000006,-213.87485350000003,-0.043831271327507984
0.1,-50.8448364,-213.8723877,-0.037987101817173574
0.11,-50.8482819,-213.8706055,-0.035580679077624126
0.12,-50.8466125,-213.8697266,-0.04205510216260242
0.13,-50.840109299999995,-213.8839844,-0.008365183808910019
0.14,-50.84408570000001,-213.87602539999997,-0.037929806037660496
0.15,-50.843399000000005,-213.87573239999998,-0.028533298197515
0.16,-50.8401917,-213.88645019999998,-0.01604281826366305
0.17,-50.8482147,-213.86984859999998,-0.035924453754702615
0.18,-50.8384064,-213.8788818,-0.05351425806521889
0.19,-50.8460632,-213.87001949999998,-0.04469070802020421
0.2,-50.8462952,-213.8717773,-0.04022163721818379
0.21,-50.8471893,-213.8704102,-0.0427999472962725
0.22,-50.8443787,-213.8723145,-0.046696060303162104
0.23,-50.846856700000004,-213.87075199999998,-0.03678389044739885
0.24,-50.846038799999995,-213.87053219999999,-0.040794595013314616
0.25,-50.8424042,-213.8776855,-0.04686794764170134
0.26,-50.8484833,-213.87285160000002,-0.045034482697282704
0.27,-50.8458313,-213.87309570000002,-0.044003158666047225
0.28,-50.8459442,-213.871167,-0.037987101817173574
0.29,-50.8439423,-213.874707,-0.05001921551492087
0.3,-50.846493499999994,-213.8712646,-0.05190997623885259
0.31,-50.8457245,-213.8764893,-0.025611213442347795
0.32,-50.8449188,-213.8756104,-0.05362884962424505
0.33,-50.8440247,-213.87365719999997,-0.04555014471290045
0.34,-50.8459381,-213.87172850000002,-0.03666929888837269
0.35,-50.8489838,-213.8699951,-0.039247608966461386
0.36,-50.842559800000004,-213.87690429999998,-0.04778468011391066
0.37,-50.8461304,-213.87233890000002,-0.03512231284151946
0.38,-50.847763099999995,-213.87094729999998,-0.04749820121634524
0.39,-50.842742900000005,-213.8720215,-0.06142107563802426
0.4,-50.8440796,-213.87490229999997,-0.04234158106016784
0.41,-50.843359400000004,-213.8759521,-0.04749820121634524
0.42,-50.8436737,-213.87578120000003,-0.027215495268714106
0.43,-50.8455566,-213.8737549,-0.046180398287544354
0.44,-50.846542400000004,-213.8704346,-0.03930490474597447
0.45,-50.8431305,-213.8743652,-0.05196727201836567
0.46,-50.8423279,-213.8731201,-0.0479565674524499
0.47,-50.8462372,-213.87304690000002,-0.04411775022507339
0.48,-50.845230099999995,-213.8738281,-0.03225752386586535
0.49,-50.848233,-213.87006839999998,-0.04182591904455009
0.5,-50.8451996,-213.87260739999996,-0.034492059266875555
0.51,-50.8457672,-213.8711182,-0.03821628493522591
0.52,-50.8431366,-213.8824463,-0.0008594366926962348
0.53,-50.84506230000001,-213.8743652,-0.042570764178220165
0.54,-50.84613650000001,-213.8734375,-0.04572203205143969
0.55,-50.8450562,-213.8719482,-0.052253750915931076
0.56,-50.848275799999996,-213.87036129999996,-0.03747143980155584
0.57,-50.8426666,-213.8738037,-0.05511853989158519
0.58,-50.8435608,-213.8743164,-0.04039352455672304
0.59,-50.848019400000005,-213.8717773,-0.04887329992465922
0.6,-50.850003099999995,-213.8685547,-0.04595121516949202
0.61,-50.845788600000006,-213.8725586,-0.04394586288653414
0.62,-50.8450317,-213.87087400000001,-0.05116513110518251
0.63,-50.8447113,-213.87224120000002,-0.03833087649425208
0.64,-50.841958600000005,-213.87558589999998,-0.03019487580339438
0.65,-50.8476562,-213.87180180000001,-0.03747143980155584
0.66,-50.8475708,-213.8709717,-0.03718496090399043
0.67,-50.8482147,-213.869751,-0.03747143980155584
0.68,-50.84359740000001,-213.87441410000002,-0.04125296124941928
0.69,-50.8460999,-213.86994629999998,-0.042570764178220165
0.7,-50.8458679,-213.87270510000002,-0.048185750570502235
0.71,-50.8455048,-213.8730225,-0.03575256641616337
0.72,-50.8424225,-213.875293,-0.05105053954615635
0.73,-50.844949299999996,-213.87458499999997,-0.04852952524758073
0.74,-50.8450928,-213.8719482,-0.03729955246301659
0.75,-50.8422974,-213.8738037,-0.038101693376199744
