Time (s),x (cm),y (cm),theta (rad)
1654213177.036156,3.1918356398819014e-05,-6.364295404637232e-05,-1.2167057628890907
1654213177.084602,3.1918356398819014e-05,-6.364295404637232e-05,-1.2167067882936016
1654213177.122161,2.3142132704379037e-05,-3.990250843344256e-05,-1.2166996785920785
1654213177.167495,2.3142132704379037e-05,-3.990250843344256e-05,-1.2166998445440904
1654213177.209335,2.3142132704379037e-05,-3.990250843344256e-05,-1.2167030185797414
1654213177.226596,2.3142132704379037e-05,-3.990250843344256e-05,-1.2167060266631915
1654213177.272069,2.3142132704379037e-05,-3.990250843344256e-05,-1.21670566506708
1654213177.294911,2.3142132704379037e-05,-3.990250843344256e-05,-1.2167226287794581
1654213177.345176,2.3142132704379037e-05,-3.990250843344256e-05,-1.2167036142580268
1654213177.387254,3.191837458871305e-05,-6.364294677041471e-05,-1.2167012996748303
1654213177.396772,2.3142050849855877e-05,-3.990253753727302e-05,-1.2166968661529693
1654213177.444699,2.3142050849855877e-05,-3.990253753727302e-05,-1.2166986531876045
1654213177.487554,2.3142050849855877e-05,-3.990253753727302e-05,-1.216694883473701
1654213177.501299,2.3142050849855877e-05,-3.990253753727302e-05,-1.2166986531876045
1654213177.552265,2.3142050849855877e-05,-3.990253753727302e-05,-1.2166993466880693
1654213177.624054,2.3142050849855877e-05,-3.990253753727302e-05,-1.2166999423662992
1654213177.667263,2.3142050849855877e-05,-3.990253753727302e-05,-1.2166992488658412
1654213177.710864,2.3142050849855877e-05,-3.990253753727302e-05,-1.216701993175248
1654213177.755658,2.3142050849855877e-05,-3.990253753727302e-05,-1.2166986531876045
1654213177.799083,2.3142050849855877e-05,-3.990253753727302e-05,-1.2167076477459973
1654213177.843692,2.3142050849855877e-05,-3.990253753727302e-05,-1.216708673150517
1654213177.84406,2.3142050849855877e-05,-3.990253753727302e-05,-1.2167088391026613
1654213177.887239,2.3142050849855877e-05,-3.990253753727302e-05,-1.216711583411963
1654213177.916177,2.3142050849855877e-05,-3.990253753727302e-05,-1.216712706638289
1654213177.959213,3.191817449987866e-05,-6.364301952999085e-05,-1.2167021591272933
1654213178.002282,2.3142025384004228e-05,-3.9902544813230634e-05,-1.2167107239595938
1654213178.049551,2.3142025384004228e-05,-3.9902544813230634e-05,-1.2167142298994837
1654213178.049661,2.3142025384004228e-05,-3.9902544813230634e-05,-1.2167111536857804
1654213178.096507,3.191799987689592e-05,-6.364308501360938e-05,-1.216716280708682
1654213178.112003,2.3141989004216157e-05,-3.990256300312467e-05,-1.2167080774721892
1654213178.158531,2.3141989004216157e-05,-3.990256300312467e-05,-1.2167133023166565
1654213178.203459,3.191790892742574e-05,-6.364312139339745e-05,-1.2167188590656661
1654213178.247137,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167209098748917
1654213178.291091,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167251093148472
