Objects
100
,,Global Angle QBii:QBii,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.023173,0.005590,0.003883,-995.182861,-99.083923,167.123489
2,0,0.023149,0.005575,0.003864,-995.183655,-99.085602,167.128036
3,0,0.023166,0.005489,0.003871,-995.183838,-99.087746,167.127930
4,0,0.023186,0.005526,0.003826,-995.189209,-99.091797,167.123734
5,0,0.023183,0.005541,0.003809,-995.188660,-99.090660,167.121124
6,0,0.023200,0.005528,0.003847,-995.187866,-99.095825,167.121628
7,0,0.023166,0.005500,0.003854,-995.182007,-99.091850,167.128159
8,0,0.023203,0.005528,0.003837,-995.185852,-99.090805,167.121155
9,0,0.023109,0.005521,0.003886,-995.184753,-99.091782,167.129684
10,0,0.023232,0.005535,0.003845,-995.187378,-99.092621,167.121277
11,0,0.023086,0.005473,0.003837,-995.189270,-99.092987,167.130463
12,0,0.023169,0.005556,0.003853,-995.184692,-99.089310,167.122147
13,0,0.023148,0.005500,0.003899,-995.181580,-99.094368,167.125580
14,0,0.023157,0.005563,0.003880,-995.183838,-99.090111,167.120148
15,0,0.023166,0.005477,0.003847,-995.185730,-99.088875,167.123932
16,0,0.023174,0.005539,0.003891,-995.184509,-99.091301,167.122559
17,0,0.023266,0.005540,0.003830,-995.190125,-99.090569,167.114899
18,0,0.023235,0.005544,0.003813,-995.190430,-99.090958,167.122269
19,0,0.023187,0.005506,0.003873,-995.184753,-99.087067,167.123260
20,0,0.023230,0.005573,0.003814,-995.188049,-99.092827,167.116028
21,0,0.023203,0.005536,0.003779,-995.188171,-99.093727,167.116577
22,0,0.023104,0.005498,0.003782,-995.192200,-99.089836,167.124115
23,0,0.023216,0.005492,0.003910,-995.180908,-99.094337,167.120453
24,0,0.023170,0.005521,0.003833,-995.188049,-99.095528,167.125336
25,0,0.023226,0.005488,0.003880,-995.186707,-99.088547,167.120667
26,0,0.023269,0.005507,0.003832,-995.188416,-99.091721,167.113373
27,0,0.023253,0.005501,0.003818,-995.191528,-99.095688,167.114365
28,0,0.023240,0.005523,0.003855,-995.178162,-99.096252,167.115250
29,0,0.023149,0.005600,0.003737,-995.191528,-99.096115,167.123291
30,0,0.023188,0.005527,0.003842,-995.183777,-99.090607,167.122391
31,0,0.023159,0.005582,0.003794,-995.192017,-99.092812,167.117432
32,0,0.023115,0.005531,0.003817,-995.191040,-99.091324,167.126862
33,0,0.023149,0.005540,0.003846,-995.186890,-99.092331,167.128876
34,0,0.023117,0.005530,0.003876,-995.182983,-99.091415,167.130981
35,0,0.023245,0.005540,0.003849,-995.182800,-99.093300,167.125473
36,0,0.023154,0.005526,0.003834,-995.183594,-99.094238,167.125320
37,0,0.023163,0.005486,0.003879,-995.183716,-99.095261,167.122055
38,0,0.023202,0.005553,0.003842,-995.184875,-99.094902,167.123749
39,0,0.023250,0.005560,0.003816,-995.187927,-99.094772,167.122833
40,0,0.023192,0.005503,0.003867,-995.188965,-99.092667,167.126663
41,0,0.023204,0.005536,0.003866,-995.186340,-99.088875,167.125580
42,0,0.023206,0.005593,0.003839,-995.186768,-99.090675,167.119308
43,0,0.023265,0.005532,0.003805,-995.186951,-99.090813,167.115448
44,0,0.023169,0.005532,0.003845,-995.183594,-99.095871,167.122070
45,0,0.023150,0.005559,0.003874,-995.180542,-99.092567,167.124512
46,0,0.023156,0.005567,0.003888,-995.180115,-99.091858,167.130157
47,0,0.023168,0.005491,0.003824,-995.186890,-99.095070,167.127457
48,0,0.023190,0.005564,0.003835,-995.186646,-99.094513,167.124344
49,0,0.023193,0.005570,0.003868,-995.186340,-99.094398,167.119263
50,0,0.023142,0.005501,0.003863,-995.185059,-99.097282,167.124329
51,0,0.023087,0.005465,0.003826,-995.183838,-99.089844,167.130676
52,0,0.023182,0.005575,0.003856,-995.183838,-99.094994,167.122330
53,0,0.023222,0.005503,0.003849,-995.184265,-99.087082,167.123901
54,0,0.023184,0.005559,0.003842,-995.187195,-99.089745,167.118561
55,0,0.023209,0.005589,0.003851,-995.181763,-99.089157,167.121216
56,0,0.023221,0.005486,0.003847,-995.179871,-99.093704,167.123306
57,0,0.023224,0.005488,0.003823,-995.185669,-99.095688,167.122757
58,0,0.023097,0.005528,0.003873,-995.182983,-99.093681,167.131180
59,0,0.023104,0.005534,0.003828,-995.183777,-99.096436,167.128738
60,0,0.023184,0.005508,0.003836,-995.191589,-99.100410,167.118393
61,0,0.023239,0.005572,0.003858,-995.186829,-99.099693,167.119034
62,0,0.023205,0.005532,0.003896,-995.182434,-99.091324,167.119690
63,0,0.023227,0.005505,0.003877,-995.184143,-99.095444,167.121292
64,0,0.023190,0.005566,0.003823,-995.185303,-99.088097,167.122650
65,0,0.023234,0.005563,0.003855,-995.181580,-99.100945,167.116623
66,0,0.023218,0.005518,0.003875,-995.179504,-99.096634,167.121582
67,0,0.023197,0.005601,0.003902,-995.184143,-99.093178,167.119263
68,0,0.023174,0.005582,0.003863,-995.185425,-99.097054,167.125443
69,0,0.023083,0.005544,0.003852,-995.184937,-99.100365,167.132538
70,0,0.023165,0.005530,0.003876,-995.183411,-99.102448,167.123337
71,0,0.023172,0.005515,0.003838,-995.186829,-99.100891,167.126694
72,0,0.023138,0.005514,0.003836,-995.187866,-99.103127,167.128189
73,0,0.023176,0.005486,0.003812,-995.187805,-99.098862,167.123627
74,0,0.023197,0.005522,0.003829,-995.188904,-99.101227,167.125992
75,0,0.023183,0.005473,0.003841,-995.186035,-99.101860,167.123535
76,0,0.023194,0.005531,0.003829,-995.192383,-99.111435,167.124039
77,0,0.023208,0.005514,0.003883,-995.184204,-99.106384,167.127289
78,0,0.023178,0.005520,0.003836,-995.186279,-99.107697,167.125244
79,0,0.023131,0.005505,0.003847,-995.188599,-99.103432,167.126587
80,0,0.023250,0.005509,0.003790,-995.187866,-99.096458,167.124710
81,0,0.023235,0.005523,0.003817,-995.185669,-99.100060,167.123047
82,0,0.023230,0.005508,0.003769,-995.192627,-99.096458,167.124603
83,0,0.023217,0.005499,0.003835,-995.186157,-99.099052,167.121170
84,0,0.023202,0.005498,0.003846,-995.185486,-99.101135,167.121979
85,0,0.023248,0.005525,0.003800,-995.187256,-99.095886,167.118744
86,0,0.023155,0.005572,0.003839,-995.184021,-99.095100,167.125534
87,0,0.023170,0.005496,0.003897,-995.182495,-99.095970,167.124008
88,0,0.023148,0.005552,0.003828,-995.189392,-99.099434,167.129425
89,0,0.023108,0.005494,0.003857,-995.184998,-99.097183,167.130219
90,0,0.023204,0.005531,0.003878,-995.180664,-99.092369,167.127762
91,0,0.023219,0.005581,0.003828,-995.182373,-99.095787,167.121826
92,0,0.023205,0.005529,0.003829,-995.180847,-99.098709,167.122055
93,0,0.023171,0.005539,0.003854,-995.181580,-99.098717,167.123840
94,0,0.023106,0.005561,0.003780,-995.185852,-99.094917,167.128510
95,0,0.023144,0.005534,0.003849,-995.181763,-99.100670,167.122009
96,0,0.023233,0.005533,0.003797,-995.184021,-99.103653,167.118378
97,0,0.023189,0.005568,0.003852,-995.185608,-99.105209,167.121002
98,0,0.023262,0.005559,0.003836,-995.184143,-99.103027,167.118408
99,0,0.023200,0.005532,0.003849,-995.183289,-99.101295,167.123642
100,0,0.023172,0.005484,0.003859,-995.182007,-99.104797,167.125793
101,0,0.023182,0.005514,0.003877,-995.182434,-99.103775,167.123016
102,0,0.023224,0.005488,0.003874,-995.185730,-99.102821,167.122223
103,0,0.023272,0.005508,0.003871,-995.184143,-99.098572,167.119568
104,0,0.023281,0.005481,0.003846,-995.188049,-99.099892,167.119385
105,0,0.023161,0.005529,0.003872,-995.187500,-99.105522,167.124496
106,0,0.023200,0.005514,0.003853,-995.185608,-99.104874,167.118744
107,0,0.023146,0.005524,0.003876,-995.186157,-99.099030,167.125366
