Objects
100
,,Global Angle QBii:QBii,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.004795,0.018693,0.003210,843.523804,-107.537598,154.114975
2,0,0.004852,0.018561,0.003209,843.525757,-107.534615,154.115356
3,0,0.004793,0.018609,0.003194,843.524963,-107.530258,154.117294
4,0,0.004802,0.018625,0.003193,843.525391,-107.537979,154.114700
5,0,0.004796,0.018720,0.003188,843.524963,-107.542015,154.114197
6,0,0.004733,0.018657,0.003209,843.525635,-107.539581,154.117096
7,0,0.004786,0.018677,0.003199,843.521606,-107.537964,154.118454
8,0,0.004761,0.018653,0.003151,843.520508,-107.542244,154.120087
9,0,0.004780,0.018691,0.003204,843.522827,-107.543159,154.114548
10,0,0.004749,0.018624,0.003156,843.520325,-107.541649,154.119751
11,0,0.004713,0.018644,0.003156,843.519653,-107.544037,154.119614
12,0,0.004734,0.018660,0.003174,843.521790,-107.540154,154.120834
13,0,0.004736,0.018650,0.003187,843.524963,-107.539375,154.120834
14,0,0.004753,0.018681,0.003228,843.524292,-107.542641,154.118774
15,0,0.004796,0.018664,0.003178,843.522034,-107.537788,154.117538
16,0,0.004732,0.018664,0.003178,843.523682,-107.540520,154.118225
17,0,0.004825,0.018687,0.003154,843.522766,-107.544243,154.109940
18,0,0.004718,0.018658,0.003201,843.527710,-107.538124,154.117737
19,0,0.004788,0.018652,0.003181,843.525269,-107.538460,154.116547
20,0,0.004720,0.018646,0.003148,843.524475,-107.541519,154.119415
21,0,0.004755,0.018714,0.003163,843.523071,-107.543419,154.116196
22,0,0.004682,0.018636,0.003145,843.520935,-107.543007,154.119308
23,0,0.004790,0.018647,0.003178,843.526489,-107.542953,154.112640
24,0,0.004715,0.018686,0.003134,843.523804,-107.540283,154.121841
25,0,0.004685,0.018698,0.003181,843.523804,-107.544174,154.122192
26,0,0.004772,0.018627,0.003184,843.526489,-107.539665,154.118347
27,0,0.004785,0.018592,0.003195,843.528076,-107.543083,154.112747
28,0,0.004682,0.018624,0.003169,843.523132,-107.542953,154.123489
29,0,0.004747,0.018648,0.003155,843.524658,-107.545677,154.115906
30,0,0.004809,0.018688,0.003148,843.522949,-107.544868,154.115845
31,0,0.004929,0.018692,0.003225,843.528748,-107.538651,154.110809
32,0,0.004775,0.018670,0.003191,843.525879,-107.543320,154.119553
33,0,0.004784,0.018622,0.003201,843.529480,-107.542679,154.116074
